Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      901     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00      901     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00      901     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00      901     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.00     0.00      901     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.00     0.00      881     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >* std::__addressof<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >(std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >&)
  0.00      0.00     0.00      827     0.00     0.00  __gnu_cxx::new_allocator<AStarSearchAlgorithm::State>::~new_allocator()
  0.00      0.00     0.00      827     0.00     0.00  std::allocator<AStarSearchAlgorithm::State>::~allocator()
  0.00      0.00     0.00      815     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00      800     0.00     0.00  __gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >::difference_type __gnu_cxx::operator-<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >(__gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > > const&, __gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > > const&)
  0.00      0.00     0.00      800     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00      800     0.00     0.00  void std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_M_realloc_insert<AStarSearchAlgorithm::State>(__gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >, AStarSearchAlgorithm::State&&)
  0.00      0.00     0.00      800     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::end()
  0.00      0.00     0.00      800     0.00     0.00  std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::begin()
  0.00      0.00     0.00      727     0.00     0.00  __gnu_cxx::new_allocator<AStarSearchAlgorithm::State>::new_allocator(__gnu_cxx::new_allocator<AStarSearchAlgorithm::State> const&)
  0.00      0.00     0.00      727     0.00     0.00  std::allocator<AStarSearchAlgorithm::State>::allocator(std::allocator<AStarSearchAlgorithm::State> const&)
  0.00      0.00     0.00      715     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator-(long) const
  0.00      0.00     0.00      643     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      0.00     0.00      636     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      0.00     0.00      636     0.00     0.00  int const* std::__miter_base<int const*>(int const*)
  0.00      0.00     0.00      636     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  0.00      0.00     0.00      602     0.00     0.00  __gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State const*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >::__normal_iterator(AStarSearchAlgorithm::State const* const&)
  0.00      0.00     0.00      602     0.00     0.00  __gnu_cxx::__normal_iterator<AStarSearchAlgorithm::State const*, std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > >::base() const
